BASKETID,BASKETTYPE,DIRECTION,FID,LOCATION_DESCRIPTION,OWNERTYPE,SECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY,STREETNAME1,STREETNAME2,point
40830037,R,,11967,,D,QE083,1034275.149,206947.4152,,,,,POINT (-73.81949439499994 40.73456626300003)
31750021,S,NE,9781,NE corner of AV D and E 52 ST,D,BKN175,1004444.15,173342.8197,1004409.946,173301.6941,AV D,E 52 ST,POINT (-73.92723500499994 40.64244780400003)
20830076,S,,9118,,D,BX083,1010882.172,262449.9988,,,,,POINT (-73.90368358799998 40.88700669900004)
21120024,H,,8215,,P,BX112,1026319.306,251570.1816,,,,,POINT (-73.84792207799995 40.85708488800003)
11120087,S,NE,8025,NE corner of E 116 ST and 5 AV,D,MN112,999155.0223,231024.4494,999118.7531,230998.6883,E 116 ST,5 AV,POINT (-73.94616580699994 40.80078037900006)
11130091,S,SE,6100,SE corner of 5 AV and E 126 ST,D,MN113,1000389.56,233274.776,1000380.069,233296.8793,5 AV,E 126 ST,POINT (-73.94170135699996 40.80695473800006)
10110042,H,,4666,,P,MN011,979735.637,198413.8447,,,,,POINT (-74.01628503999996 40.71128398400003)
10430276,H,,1487,,B,MN043,989042.7804,219329.378,,,,,POINT (-73.98269868599994 40.76869179000005)
10420255,H,,1319,,B,MN042,984143.7433,210950.5322,,,,,POINT (-74.00038492099998 40.74569529000007)
10340113,H,SE,661,SE corner of 4 AV and E 12 ST,D,MN034,987058.4206,206159.1261,987045.7982,206198.6753,4 AV,E 12 ST,POINT (-73.98986806499994 40.73254362100005)
41160043,R,,34733,,D,QE116,1051138.89,213522.0655,,,,,POINT (-73.75857940399999 40.752500515000065)
21130044,S,,28163,,D,BX113,,,,,,,POINT (-73.85095926099996 40.87225659100005)
10810195,H,,21241,Unknown corner on YORK AV,B,MN081,996369.3406,217285.9195,996326.9181,217277.2541,,YORK AV,POINT (-73.95625222699994 40.76307601700006)
31150039,S,E,19685,E corner of 86 ST and 25 AV,D,BKS115,987887.7253,157128.5834,987847.1778,157128.0254,86 ST,25 AV,POINT (-73.98690220299994 40.59796536700003)
31010009,H,S,19468,S corner of 5 AV and 72 ST,B,BKS101,978252.5441,169348.307,978232.6793,169383.7686,5 AV,72 ST,POINT (-74.02160878299998 40.631504704000065)
40160004,S,S,15960,S corner of 36 AV and 29 ST,D,QW016,1003289.262,215109.7572,1003270.139,215171.8637,36 AV,29 ST,POINT (-73.93127839199997 40.75709081700006)
41430050,S,,14578,,D,QE143,1053767.561,159057.6327,,,,,POINT (-73.74965359499998 40.60298830800008)
50130041,S,,14465,,D,SI013,952226.0332,162736.9256,,,,,POINT (-74.11534439899998 40.613301996000075)
40830004,S,SE,13490,SE corner of 73 AV and MAIN ST,D,QE083,1034048.126,203300.0606,1033986.57,203333.4087,73 AV,MAIN ST,POINT (-73.82034055599996 40.72455646600008)
31320385,E,,70424,,D,BKS132,989976.8422,148417.2731,,,,,POINT (-73.97938679699996 40.57405344600005)
21220037,H,W,21669,W corner of BOSTON RD and CORSA AV,D,BX122,1026362.13,258776.1255,1026445.073,258759.184,BOSTON RD,CORSA AV,POINT (-73.84772198699994 40.876862782000046)
30210046,S,SW,10052,SW corner of PIERREPONT ST and HENRY ST,D,BKN021,985865.1152,192619.3172,985899.662,192644.2736,PIERREPONT ST,HENRY ST,POINT (-73.99417701299997 40.69538036900008)
10830106,R,SE,2883,SE corner of 1 AV and E 77 ST,O,MN083,997107.701,220101.4535,997112.3558,220149.2776,1 AV,E 77 ST,POINT (-73.95358145799999 40.77080288600007)
41210026,H,NE,11749,NE corner of JAMAICA AV and 150 ST,B,QE121,1038508.917,195213.2615,1038484.882,195176.0339,JAMAICA AV,150 ST,POINT (-73.80431221399994 40.702333946000074)
10820059,H,SE,21967,SE corner of 2 AV and E 73 ST,D,MN082,995946.3493,219554.5226,995941.8398,219591.946,2 AV,E 73 ST,POINT (-73.95777522199995 40.769303315000066)
31160089,S,NE,14311,NE corner of STILLWELL AV and KINGS HWY,D,BKS116,987905.0393,160113.2428,987882.5058,160086.0641,STILLWELL AV,KINGS HWY,POINT (-73.98683824199998 40.60615764500005)
31320300,S,SW,48576,SW corner of SURF AV and W 15 ST,D,BKS132,989080.9359,148874.6747,989150.5775,148913.9276,SURF AV,W 15 ST,POINT (-73.98261142099994 40.57530945700006)
31120004,S,W,19191,W corner of BAY PKWY and 68 ST,D,BKS112,988839.3202,162284.3812,988871.3589,162291.5029,BAY PKWY,68 ST,POINT (-73.98347206299997 40.612116541000034)
